"Volksabstimmungen (Ergebnisse Ebene Kanton seit 1866)"

"Kanton";"Datum und Vorlage";"Ja in %"
"Schweiz";"28.02.2016 Sanierung Gotthard-Strassentunnel";57.0
"Schweiz";"28.02.2016 Initiative gegen die Spekulation mit Nahrungsmitteln";40.1
"Schweiz";"28.02.2016 Durchsetzungsinitiative";41.1
"Schweiz";"28.02.2016 Initiative gegen die Heiratsstrafe";49.2
"Schweiz";"14.06.2015 Radio- und Fernsehengesetz (Radio- und Fernsehgehabgabe)";50.1
"Schweiz";"14.06.2015 Initiative «Millionen-Erbschaften besteuern»";29.0
"Schweiz";"14.06.2015 Stipendieninitiative";27.5
"Schweiz";"14.06.2015 Fortpflanzungsmedizin und Gentechnologie im Humanbereich";61.9
"Schweiz";"08.03.2015 Initiative «Energie- statt Mehrwertsteuer»";8.0
"Schweiz";"08.03.2015 Initiative «Steuerfreie Kinderzulagen»";24.6
"Schweiz";"30.11.2014 Gold-Initiative";22.7
"Schweiz";"30.11.2014 Initiative «Stopp der Überbevölkerung (ECOPOP)»";25.9
"Schweiz";"30.11.2014 Initiative zur Abschaffung der Pauschalbesteuerung";40.8
"Schweiz";"28.09.2014 Initiative «Für eine öffentliche Krankenkasse»";38.2
"Schweiz";"28.09.2014 Initiative «Schluss mit der MwSt-Diskriminierung des Gastgewerbes!»";28.5
"Schweiz";"18.05.2014 Beschaffung des Kampfflugzeugs Gripen";46.6
"Schweiz";"18.05.2014 Mindestlohn-Initiative";23.7
"Schweiz";"18.05.2014 Initiative «Pädophile sollen nicht mehr mit Kindern arbeiten dürfen»";63.5
"Schweiz";"18.05.2014 Medizinische Grundversorgung";88.1
"Schweiz";"09.02.2014 Initiative «Gegen Masseneinwanderung»";50.3
"Schweiz";"09.02.2014 Initiative «Abtreibungsfinanzierung ist Privatsache»";30.2
"Schweiz";"09.02.2014 Finanzierung und Ausbau der Eisenbahninfrastruktur";62.0
"Schweiz";"24.11.2013 Nationalstrassenabgabegesetz (NSAG)";39.5
"Schweiz";"24.11.2013 Familieninitiative";41.5
"Schweiz";"24.11.2013 Initiative «1:12 - für gerechte Löhne»";34.7
"Schweiz";"22.09.2013 Liberalisierung der Öffnungszeiten von Tankstellenshops";55.8
"Schweiz";"22.09.2013 Epidemiengesetz";60.0
"Schweiz";"22.09.2013 Aufhebung der Wehrpflicht";26.8
"Schweiz";"09.06.2013 Asylgesetz";78.4
"Schweiz";"09.06.2013 «Volkswahl des Bundesrates»";23.7
"Schweiz";"03.03.2013 Raumplanungsgesetz";62.9
"Schweiz";"03.03.2013 Initiative «gegen die Abzockerei»";68.0
"Schweiz";"03.03.2013 Familienpolitik";54.3
"Schweiz";"25.11.2012 Tierseuchengesetz";68.3
"Schweiz";"23.09.2012 «Schutz vor Passivrauchen»";34.0
"Schweiz";"23.09.2012 «Sicheres Wohnen im Alter»";47.4
"Schweiz";"23.09.2012 Jugendmusikförderung";72.7
"Schweiz";"17.06.2012 Krankenversicherungsgesetz (Managed Care)";23.9
"Schweiz";"17.06.2012 Initiative «Staatsverträge vors Volk!»";24.7
"Schweiz";"17.06.2012 «Eigene vier Wände dank Bausparen»";31.1
"Schweiz";"11.03.2012 Buchpreisbindung";43.9
"Schweiz";"11.03.2012 Regelung der Geldspiele zugunsten gemeinnütziger Zwecke";87.1
"Schweiz";"11.03.2012 6 Wochen Ferien für alle";33.5
"Schweiz";"11.03.2012 Für ein steuerlich begünstigtes Bausparen";44.2
"Schweiz";"11.03.2012 Schluss mit uferlosem Bau von Zweitwohnungen!";50.6
"Schweiz";"13.02.2011 Waffeninitiative";43.7
"Schweiz";"28.11.2010 Steuergerechtigkeits-Initiative";41.5
"Schweiz";"28.11.2010 Gegenentwurf zur Ausschaffungsinitiative";45.8
"Schweiz";"28.11.2010 Ausschaffungsinitiative";52.9
"Schweiz";"26.09.2010 Revision des Arbeitslosenversicherungsgesetzes";53.4
"Schweiz";"07.03.2010 Berufliche Vorsorge: Anpassung des Mindestumwandlungssatzes";27.3
"Schweiz";"07.03.2010 Tierschutzanwalt-Initiative";29.5
"Schweiz";"07.03.2010 Forschung am Menschen";77.2
"Schweiz";"29.11.2009 Verbot von Minaretten";57.5
"Schweiz";"29.11.2009 Verbot von Kriegsmaterial-Exporten";31.8
"Schweiz";"29.11.2009 Spezialfinanzierung für Aufgaben im Luftverkehr";65.0
"Schweiz";"27.09.2009 Verzicht auf die Einführung der allgemeinen Volksinitiative";67.9
"Schweiz";"27.09.2009 IV-Zusatzfinanzierung";54.6
"Schweiz";"17.05.2009 Biometrische Pässe";50.1
"Schweiz";"17.05.2009 Verfassungsartikel zur Komplementärmedizin";67.0
"Schweiz";"08.02.2009 Personenfreizügigkeit Schweiz-EU";59.6
"Schweiz";"30.11.2008 Betäubungsmittelgesetz";68.1
"Schweiz";"30.11.2008 Hanfinitiative";36.7
"Schweiz";"30.11.2008 Verbandsbeschwerderechts-Initiative";34.0
"Schweiz";"30.11.2008 Initiative für ein flexibles AHV-Alter";41.4
"Schweiz";"30.11.2008 Unverjährbarkeit pornografischer Straftaten an Kindern";51.9
"Schweiz";"01.06.2008 Gesundheitsartikel";30.5
"Schweiz";"01.06.2008 Initiative «gegen Behördenprogaganda»";24.8
"Schweiz";"01.06.2008 Einbürgerungsinitiative";36.2
"Schweiz";"24.02.2008 Unternehmenssteuerreform II";50.5
"Schweiz";"24.02.2008 Initiative gegen Kampfjetlärm";31.9
"Schweiz";"17.06.2007 5. IV-Revision";59.1
"Schweiz";"11.03.2007 Einheitskrankenkasse";28.8
"Schweiz";"26.11.2006 Familienzulagen";68.0
"Schweiz";"26.11.2006 Ostzusammenarbeit";53.4
"Schweiz";"24.09.2006 Asylgesetz";67.8
"Schweiz";"24.09.2006 Ausländergesetz";68.0
"Schweiz";"24.09.2006 KOSA-Initiative";41.7
"Schweiz";"21.05.2006 Bildungsartikel";85.6
"Schweiz";"27.11.2005 Sonntagsarbeit";50.6
"Schweiz";"27.11.2005 Gentechfrei-Initiative";55.7
"Schweiz";"25.09.2005 Ausdehnung der Personenfreizügigkeit";56.0
"Schweiz";"05.06.2005 Partnerschaftsgesetz";58.0
"Schweiz";"05.06.2005 Abkommen zu Schengen und Dublin";54.6
"Schweiz";"28.11.2004 Stammzellenforschungsgesetz";66.4
"Schweiz";"28.11.2004 Neue Finanzordnung";73.8
"Schweiz";"28.11.2004 Neugestaltung Finanzausgleich";64.4
"Schweiz";"26.09.2004 Erwerbsersatz für Dienstleistende und bei Mutterschaft";55.5
"Schweiz";"26.09.2004 Postdienst für alle";49.8
"Schweiz";"26.09.2004 Bürgerrechtserwerb für die dritte Generation";48.4
"Schweiz";"26.09.2004 Erleichterte Einbürgerung von Jugendlichen der zweiten Generation";43.2
"Schweiz";"16.05.2004 Steuerpaket";34.1
"Schweiz";"16.05.2004 Anhebung der Mehrwertsteuer für AHV/IV";31.4
